chemical_code,chemical,items_2019,items_2020
0205052A0,Irbesartan with diuretic,8116,6928
0906040N0,Ergocalciferol,7415,6896
200308000,DUMMY CHEMICAL SUBSTANCE 200308000,8367,6874
1202010T0,Triamcinolone acetonide,6453,6839
0607010C0,Cabergoline,5582,6814
0501070X0,Rifaximin,5681,6794
1314000H0,Heparinoid,8040,6764
0704050AA,Vardenafil,7154,6747
1202030R0,Mupirocin,7307,6710
0601023AJ,Alogliptin/metformin,5353,6679
210200005,DUMMY CHEMICAL SUBSTANCE 210200005,7136,6658
0904010K0,Glucose,5999,6656
0105020A0,Budesonide,5809,6648
226020860,DUMMY CHEMICAL SUBSTANCE 226020860,5043,6624
1002010Q0,Pyridostigmine bromide,5595,6607
0501060D0,Clindamycin hydrochloride,6823,6568
231539315,DUMMY CHEMICAL SUBSTANCE 231539315,3775,6562
0905022S0,Sevelamer,6542,6541
200301006,DUMMY CHEMICAL SUBSTANCE 200301006,5281,6399
200309003,DUMMY CHEMICAL SUBSTANCE 200309003,5374,6299
0406000G0,Cyclizine lactate,5298,6280
0801030L0,Mercaptopurine,5511,6273
238007780,DUMMY CHEMICAL SUBSTANCE 238007780,5857,6245
0309020D0,Simple,9343,6238
1307000M0,Salicylic acid,11986,6237
1104010K0,Fluorometholone,4865,6202
0205020H0,Methyldopa,5802,6128
0209000Y0,Prasugrel,5265,6110
0905022C0,Calcium acetate,5843,6107
0401020T0,Oxazepam,6545,6044
0205051U0,Trandolapril,6278,6037
0505010D0,Mebendazole,8975,5967
0102000X0,Mebeverine hydrochloride compound preparations,6394,5953
231533615,DUMMY CHEMICAL SUBSTANCE 231533615,5123,5887
0407020L0,Meptazinol hydrochloride,5734,5832
0206010I0,Isosorbide dinitrate,6024,5821
0403030Z0,Citalopram hydrochloride,5919,5797
210200013,DUMMY CHEMICAL SUBSTANCE 210200013,5117,5785
238065580,DUMMY CHEMICAL SUBSTANCE 238065580,2900,5764
0205051F0,Captopril,6090,5742
1306030B0,Ivermectin,4943,5710
1103010B0,Ciprofloxacin,7093,5645
0102000Y0,Propantheline bromide,5065,5644
1404000G0,Hepatitis B,10324,5617
0501070AE,Fosfomycin trometamol,3921,5591
0302000U0,Ciclesonide,3855,5587
0304010AC,Levocetirizine,5059,5563
0601023AF,Linagliptin/metformin,4919,5518
236007064,DUMMY CHEMICAL SUBSTANCE 236007064,4669,5513
214100001,DUMMY CHEMICAL SUBSTANCE 214100001,5877,5506
1201010B0,Acetic acid,6495,5496
0601023AR,Empagliflozin/metformin,3596,5461
0107040A0,Glyceryl trinitrate,6388,5458
0102000L0,Glycopyrronium bromide,4673,5429
0802020G0,Ciclosporin,5763,5419
200309001,DUMMY CHEMICAL SUBSTANCE 200309001,5454,5409
1301010D0,Cetomacrogol,6242,5400
1104010S0,Prednisolone sodium phosphate,6148,5383
0106040N0,Phosphates (Rectal),5212,5365
1104020AE,Ciclosporin (Eye Anti Inflammatory),3621,5354
0407041AB,Frovatriptan,4674,5334
212000000,DUMMY CHEMICAL SUBSTANCE 212000000,6038,5328
0606020Z0,Denosumab,5405,5285
1106000AG,Timolol and brimonidine,5136,5238
0402010P0,Pericyazine,4956,5204
0602010M0,Liothyronine sodium,4766,5095
200304001,DUMMY CHEMICAL SUBSTANCE 200304001,5312,5093
0208010W0,Tinzaparin sodium,6058,5069
0407010B0,Aspirin,5750,5051
0205052X0,Valsartan with diuretic,5292,5033
231533715,DUMMY CHEMICAL SUBSTANCE 231533715,4952,5030
0703021L0,Levonorgestrel,3151,5026
1310011M0,Mupirocin,5539,5010
225020850,DUMMY CHEMICAL SUBSTANCE 225020850,3883,5003
200301004,DUMMY CHEMICAL SUBSTANCE 200301004,5455,4953
236041065,DUMMY CHEMICAL SUBSTANCE 236041065,2180,4944
0605010S0,Somatropin,4800,4921
238501085,DUMMY CHEMICAL SUBSTANCE 238501085,4529,4900
212700001,DUMMY CHEMICAL SUBSTANCE 212700001,5412,4900
1305020C0,Tars,4558,4871
0307000C0,Acetylcysteine,1539,4746
1310020L0,Ketoconazole,5519,4697
1105000B0,Atropine sulfate,4430,4691
1201010G0,Hydrocortisone acetate,5734,4681
0601023R0,Repaglinide,4716,4646
0101010G0,Co-magaldrox (Magnesium/aluminium hydroxide),4727,4639
0205052W0,Eprosartan,4670,4635
200301005,DUMMY CHEMICAL SUBSTANCE 200301005,4776,4571
200900005,DUMMY CHEMICAL SUBSTANCE 200900005,5625,4562
236041064,DUMMY CHEMICAL SUBSTANCE 236041064,5168,4558
231560015,DUMMY CHEMICAL SUBSTANCE 231560015,4345,4555
0408010AK,Perampanel,3898,4549
1305030B0,Pimecrolimus,3709,4486
1309000L0,Benzalkonium chloride,4766,4480
0704010W0,Solifenacin/tamsulosin,4255,4431
220505005,DUMMY CHEMICAL SUBSTANCE 220505005,5392,4421
0106010N0,Sterculia,4657,4406
0905013A0,Magnesium aspartate,3455,4361
0905012I0,Cinacalcet hydrochloride,4307,4324
0604020U0,Testosterone esters,4134,4315
0409010V0,Entacapone,3878,4312
0106070B0,Linaclotide,2853,4307
1201010AE,Ciprofloxain/dexameth,2796,4294
0304010A0,Acrivastine,4164,4291
0105010D0,Balsalazide sodium,3915,4276
0407020K0,Diamorphine hydrochloride (Systemic),6105,4243
0604011X0,Raloxifene hydrochloride,4239,4233
1202010A0,Azelastine hydrochloride,3887,4227
225050550,DUMMY CHEMICAL SUBSTANCE 225050550,3699,4185
130801000,Other sunscreening preparations,4945,4161
0703050A0,Levonorgestrel,6058,4093
0404000L0,Dexamfetamine sulfate,3509,4092
228020880,DUMMY CHEMICAL SUBSTANCE 228020880,3488,4088
1104020W0,Azelastine hydrochloride,4267,4061
110802070,Ketorolac trometamol,3675,4046
0503021A0,Valaciclovir,3372,4000
0601011N0,Soluble insulin (Neutral insulin),3653,3986
1304000T0,Fludroxycortide,3705,3962
0309010X0,Pholcodine,6088,3951
130202000,Other barrier preparations,5277,3932
238541085,DUMMY CHEMICAL SUBSTANCE 238541085,3738,3914
1306020J0,Isotretinoin,4661,3910
0601023AA,Vildagliptin,4296,3886
200504001,DUMMY CHEMICAL SUBSTANCE 200504001,3595,3883
1502010I0,Lidocaine,3830,3844
200202010,DUMMY CHEMICAL SUBSTANCE 200202010,4524,3824
0601023AL,Dapagliflozin/metformin,2900,3773
1302011M0,Liquid paraffin,5146,3768
0602020N0,Propylthiouracil,3287,3761
0205040V0,Terazosin hydrochloride,6271,3747
0902021S0,Sodium chloride,3301,3740
0905013G0,Magnesium glycerophosphate,3587,3737
1108010L0,Liquid paraffin,6186,3702
238510085,DUMMY CHEMICAL SUBSTANCE 238510085,3401,3652
0906040C0,Calcitriol,3575,3645
0408010I0,Ethosuximide,3085,3644
0601023Z0,Metformin hydrochloride/vildagliptin,3898,3644
0205051Z0,Perindopril arginine with diuretic,3961,3638
0401020E0,Chlordiazepoxide hydrochloride,4112,3637
226026560,DUMMY CHEMICAL SUBSTANCE 226026560,2861,3604
200402006,DUMMY CHEMICAL SUBSTANCE 200402006,3679,3596
1106000X0,Pilocarpine hydrochloride,3515,3593
238033780,DUMMY CHEMICAL SUBSTANCE 238033780,3499,3591
0704010M0,Indoramin,3928,3576
120101040,Dexamethasone sodium metasulphobenzoate,12418,3573
140400070,Hepatitis A/hepatitis B,9605,3566
0402020G0,Flupentixol decanoate,4023,3544
213000008,DUMMY CHEMICAL SUBSTANCE 213000008,3105,3523
230541005,DUMMY CHEMICAL SUBSTANCE 230541005,3497,3469
130802000,Other camouflage preparations,3692,3456
0501070I0,Colistimethate sodium,2916,3445
233541038,DUMMY CHEMICAL SUBSTANCE 233541038,2216,3440
200316001,DUMMY CHEMICAL SUBSTANCE 200316001,3831,3434
0703010P0,Phased formulations of ethinylestradiol,3410,3417
1203010M0,Hydrocortisone (Sodium succinate),4443,3410
231548015,DUMMY CHEMICAL SUBSTANCE 231548015,3162,3389
200202007,DUMMY CHEMICAL SUBSTANCE 200202007,3547,3380
0603020C0,Betamethasone sodium phosphate,3015,3372
1312000C0,Aluminium chloride,4468,3371
0601023AI,Lixisenatide,4140,3368
223039531,DUMMY CHEMICAL SUBSTANCE 223039531,3518,3366
1201010E0,Betamethasone sodium phosphate,629,3364
210200010,DUMMY CHEMICAL SUBSTANCE 210200010,2051,3347
212700006,DUMMY CHEMICAL SUBSTANCE 212700006,3456,3335
0407020AF,Oxycodone hydrochloride/naloxone hydrochloride,3890,3293
110801000,Other eye tear/lubricant/astringent preparations,3018,3257
212700004,DUMMY CHEMICAL SUBSTANCE 212700004,3761,3245
210200015,DUMMY CHEMICAL SUBSTANCE 210200015,770,3244
1108020J0,Apraclonidine,2801,3229
225026550,DUMMY CHEMICAL SUBSTANCE 225026550,2370,3225
0407041B0,Almotriptan,3650,3218
1304000W0,Hydrocortisone butyrate,3792,3216
0408010AL,Brivaracetam,1748,3214
1002020J0,Dantrolene sodium,3317,3175
0906011D0,Vitamin A,3784,3123
0901011Q0,Iron and folic acid,3447,3117
210200003,DUMMY CHEMICAL SUBSTANCE 210200003,2937,3065
0501120P0,Ofloxacin,2883,3063
200202011,DUMMY CHEMICAL SUBSTANCE 200202011,3782,3038
0402010X0,Trifluoperazine,3205,3034
0604011Q0,Oestrogens conjugated with progestogen,2306,3034
200402004,DUMMY CHEMICAL SUBSTANCE 200402004,3561,3033
1103010G0,Gentamicin sulfate,4108,3022
0702020X0,Metronidazole,2916,3018
0205052R0,Telmisartan with diuretic,3067,3017
0402010K0,Levomepromazine maleate,2941,3013
238507085,DUMMY CHEMICAL SUBSTANCE 238507085,2615,3001
0103010H0,Famotidine,848,2995
0404000V0,Guanfacine,1686,2980
239448095,DUMMY CHEMICAL SUBSTANCE 239448095,2525,2957
0205040S0,Prazosin hydrochloride,3292,2930
236007063,DUMMY CHEMICAL SUBSTANCE 236007063,3096,2929
236007062,DUMMY CHEMICAL SUBSTANCE 236007062,2626,2915
0106060B0,Naloxegol,1963,2871
239410100,DUMMY CHEMICAL SUBSTANCE 239410100,2797,2860
020400060,Celiprolol hydrochloride,2884,2855
0102000J0,Dicycloverine hydrochloride,3224,2832
0906050P0,Vitamin E,3394,2828
226001060,DUMMY CHEMICAL SUBSTANCE 226001060,2432,2815
1303000D0,Calamine,5227,2812
234533745,DUMMY CHEMICAL SUBSTANCE 234533745,3443,2802
233507038,DUMMY CHEMICAL SUBSTANCE 233507038,1960,2780
239407096,DUMMY CHEMICAL SUBSTANCE 239407096,2710,2743
1108010N0,Paraffin soft yellow,2918,2738
1108010C0,Acetylcysteine,2301,2708
239610096,DUMMY CHEMICAL SUBSTANCE 239610096,3047,2707
233556038,DUMMY CHEMICAL SUBSTANCE 233556038,2552,2689
201400001,DUMMY CHEMICAL SUBSTANCE 201400001,4263,2683
238048580,DUMMY CHEMICAL SUBSTANCE 238048580,109,2667
1106000AM,Tafluprost and timolol,2030,2658
0205051Y0,Perindopril arginine,2752,2648
0601021P0,Glipizide,2627,2645
0704020P0,Propiverine hydrochloride,2750,2637
0402010H0,Flupentixol hydrochloride,2632,2636
210706301,DUMMY CHEMICAL SUBSTANCE 210706301,3288,2629
0310000N0,Pseudoephedrine hydrochloride,3891,2623
0803042E0,Cyproterone acetate,2799,2620
230509005,DUMMY CHEMICAL SUBSTANCE 230509005,2415,2616
0208020W0,INR blood testing reagents,2316,2609
0304010Y0,Alimemazine tartrate,2771,2607
1108010Z0,Carbomer 974P,2488,2606
0410010B0,Disulfiram,2893,2606
1309000S0,Selenium sulfide,1009,2599
0409030C0,Tetrabenazine,2425,2577
228009580,DUMMY CHEMICAL SUBSTANCE 228009580,1281,2561
0801030P0,Methotrexate,1908,2534
1202020P0,Xylometazoline hydrochloride,3371,2506
1306010AB,Clindamycin/tretinoin,2237,2495
0304010N0,Diphenhydramine hydrochloride,2703,2491
213800001,DUMMY CHEMICAL SUBSTANCE 213800001,3161,2474
1310011Y0,Silver sulfadiazine,3225,2471
0402020Z0,Zuclopenthixol decanoate,2572,2458
0409010T0,Selegiline hydrochloride,2709,2454
231565015,DUMMY CHEMICAL SUBSTANCE 231565015,2076,2452
210400002,DUMMY CHEMICAL SUBSTANCE 210400002,3796,2450
233507036,DUMMY CHEMICAL SUBSTANCE 233507036,2297,2418
231534515,DUMMY CHEMICAL SUBSTANCE 231534515,2384,2409
0601023A0,Acarbose,2648,2405
239401097,DUMMY CHEMICAL SUBSTANCE 239401097,2232,2403
0410020A0,Bupropion hydrochloride,2096,2388
0407020M0,Methadone hydrochloride,3141,2370
1108010H0,Hyetellose,2337,2363
0501100H0,Dapsone,2226,2353
200503002,DUMMY CHEMICAL SUBSTANCE 200503002,2284,2353
231501015,DUMMY CHEMICAL SUBSTANCE 231501015,2527,2352
0501120X0,Levofloxacin,2178,2338
238534585,DUMMY CHEMICAL SUBSTANCE 238534585,2171,2334
0406000V0,Promethazine teoclate,2845,2330
201100002,DUMMY CHEMICAL SUBSTANCE 201100002,4906,2328
0703050B0,Ulipristal acetate (Emergency Contraceptive),3361,2321
230533705,DUMMY CHEMICAL SUBSTANCE 230533705,2275,2317
1310012Q0,Sodium fusidate,3026,2310
200306001,DUMMY CHEMICAL SUBSTANCE 200306001,2425,2297
0601023W0,Metformin hydrochloride/pioglitazone,2660,2281
0702020E0,Clindamycin phosphate,2712,2264
212000001,DUMMY CHEMICAL SUBSTANCE 212000001,2045,2251
1001010X0,Nabumetone,2557,2231
0102000K0,Dicycloverine hydrochloride compound preparations,2499,2229
236001063,DUMMY CHEMICAL SUBSTANCE 236001063,1848,2224
1309000X0,Eflornithine monohydrate chloride,2376,2216
0905041R0,Zinc sulfate monohydrate,2103,2202
212900001,DUMMY CHEMICAL SUBSTANCE 212900001,2771,2196
0601023AU,Ins degludec/liraglutide,2107,2193
1003020N0,Methyl salicylate,2595,2183
212700002,DUMMY CHEMICAL SUBSTANCE 212700002,2568,2172
0403010Y0,Trimipramine maleate,2718,2166
0501030V0,Tetracycline,2063,2165
0408010AI,Eslicarbazepine acetate,1597,2165
0206020Z0,Valsartan/amlodipine,2009,2158
0304010AA,Mizolastine,2046,2140
200900002,DUMMY CHEMICAL SUBSTANCE 200900002,3269,2128
1307000V0,Imiquimod,2251,2120
210200002,DUMMY CHEMICAL SUBSTANCE 210200002,2153,2097
233541037,DUMMY CHEMICAL SUBSTANCE 233541037,2377,2085
021200010,Ciprofibrate,2133,2022
223039530,DUMMY CHEMICAL SUBSTANCE 223039530,2204,2019
0704030G0,Potassium citrate,2020,2005
0403040U0,Reboxetine,2065,2005
212700008,DUMMY CHEMICAL SUBSTANCE 212700008,1966,2005
200306002,DUMMY CHEMICAL SUBSTANCE 200306002,2226,2005
200302000,DUMMY CHEMICAL SUBSTANCE 200302000,2443,1998
233507037,DUMMY CHEMICAL SUBSTANCE 233507037,2124,1994
200312000,DUMMY CHEMICAL SUBSTANCE 200312000,2243,1983
200305000,DUMMY CHEMICAL SUBSTANCE 200305000,2381,1972
0203020X0,Dronedarone hydrochloride,1889,1970
200900010,DUMMY CHEMICAL SUBSTANCE 200900010,1843,1960
238041080,DUMMY CHEMICAL SUBSTANCE 238041080,1812,1954
231520815,DUMMY CHEMICAL SUBSTANCE 231520815,1938,1953
0403010L0,Doxepin,2074,1947
0501030P0,Minocycline hydrochloride,2288,1936
0403030L0,Fluvoxamine maleate,1890,1933
0208020H0,Acenocoumarol,2040,1929
1106000I0,Betaxolol,2102,1914
1305020W0,Calcitriol,2036,1890
1311030A0,Alkyl sulphate,2109,1886
239601097,DUMMY CHEMICAL SUBSTANCE 239601097,1958,1881
200503001,DUMMY CHEMICAL SUBSTANCE 200503001,1444,1872
091101000,Other amino acidandnutritional agent preparations,1637,1861
1501030H0,Hyoscine hydrobromide,1892,1859
236056062,DUMMY CHEMICAL SUBSTANCE 236056062,1755,1854
0501021M0,Cefradine,1935,1851
0803042R0,Degarelix,1547,1823
228005080,DUMMY CHEMICAL SUBSTANCE 228005080,2152,1813
0402010AI,Lurasidone,1377,1812
1302010Y0,Wool alcohols,2302,1812
0205010N0,Minoxidil,1763,1806
0409030R0,Riluzole,1619,1804
0409010AB,Opicapone,1389,1803
0403040Z0,Agomelatine,1649,1803
212700011,DUMMY CHEMICAL SUBSTANCE 212700011,1768,1796
239448094,DUMMY CHEMICAL SUBSTANCE 239448094,1534,1781
233501037,DUMMY CHEMICAL SUBSTANCE 233501037,1803,1781
200305001,DUMMY CHEMICAL SUBSTANCE 200305001,2104,1776
0603020L0,Hydrocortisone sodium phosphate,789,1769
201100004,DUMMY CHEMICAL SUBSTANCE 201100004,3146,1762
0703011A0,Etonogestrel/ethinylestradiol,1495,1742
0105020D0,Prednisolone sodium metasulphobenzoate,1704,1719
200302001,DUMMY CHEMICAL SUBSTANCE 200302001,1806,1715
239607096,DUMMY CHEMICAL SUBSTANCE 239607096,1536,1710
0101010R0,Simeticone,2242,1696
0203020R0,Propafenone hydrochloride,1609,1690
233510037,DUMMY CHEMICAL SUBSTANCE 233510037,2116,1686
0206040X0,Cilostazol,1849,1676
239601098,DUMMY CHEMICAL SUBSTANCE 239601098,1126,1671
1104020M0,Lodoxamide trometamol,1889,1660
1105000E0,Cyclopentolate hydrochloride,1543,1649
1201010F0,Flumetasone pivalate,1271,1649
201000007,DUMMY CHEMICAL SUBSTANCE 201000007,2017,1634
0205052AB,Olmesartan medoxomil/amlodipine,1451,1627
0107010AA,Diltiazem hydrochloride,1725,1625
091102000,Other enzyme preparations 0911020,2178,1625
200303000,DUMMY CHEMICAL SUBSTANCE 200303000,1737,1616
0206040AG,Pentoxifylline,1735,1610
220520805,DUMMY CHEMICAL SUBSTANCE 220520805,1375,1599
1103010Y0,Ofloxacin,1072,1590
238065080,DUMMY CHEMICAL SUBSTANCE 238065080,1271,1589
236001062,DUMMY CHEMICAL SUBSTANCE 236001062,1553,1583
237007070,DUMMY CHEMICAL SUBSTANCE 237007070,1401,1583
0301040R0,Salbutamol,1515,1573
0103010N0,Nizatidine,850,1570
212700009,DUMMY CHEMICAL SUBSTANCE 212700009,1531,1562
200503004,DUMMY CHEMICAL SUBSTANCE 200503004,1832,1555
0301011X0,Indacaterol maleate,1787,1554
200306004,DUMMY CHEMICAL SUBSTANCE 200306004,1555,1541
0205053A0,Aliskiren,1669,1539
200315000,DUMMY CHEMICAL SUBSTANCE 200315000,1077,1535
220509505,DUMMY CHEMICAL SUBSTANCE 220509505,930,1524
0212000AC,Simvastatin and ezetimibe,1523,1522
1108020AF,Nepafenac,1596,1512
1313010S0,Medicated stockings,1456,1509
0408010Z0,Phenytoin,1919,1508
0204000V0,Timolol,1526,1507
0501090R0,Rifampicin,1491,1503
234509045,DUMMY CHEMICAL SUBSTANCE 234509045,1714,1496
239448096,DUMMY CHEMICAL SUBSTANCE 239448096,1527,1492
238034580,DUMMY CHEMICAL SUBSTANCE 238034580,1250,1490
1201030N0,Urea hydrogen peroxide,2560,1487
0601021X0,Tolbutamide,1662,1457
0202020U0,Torasemide,1284,1444
090401010,Low protein mixes,1458,1443
228061580,DUMMY CHEMICAL SUBSTANCE 228061580,1334,1436
236034563,DUMMY CHEMICAL SUBSTANCE 236034563,1583,1436
0407041AA,Eletriptan,1308,1435
234510045,DUMMY CHEMICAL SUBSTANCE 234510045,1736,1428
0409010AA,Safinamide,819,1428
238007080,DUMMY CHEMICAL SUBSTANCE 238007080,1255,1428
236010062,DUMMY CHEMICAL SUBSTANCE 236010062,1513,1412
0202010V0,Metolazone,1675,1408
0401010P0,Lormetazepam,1550,1406
1203050P0,Pilocarpine hydrochloride,1268,1406
0205052Y0,Olmesartan medoxomil/hydrochlorothiazide,1400,1405
0204000M0,Nadolol,1099,1402
0401010N0,Loprazolam mesilate,2193,1397
090101100,Other oral iron preparations,1255,1385
1201010AC,Ciprofloxacin,1058,1384
200304000,DUMMY CHEMICAL SUBSTANCE 200304000,1777,1380
090502100,Other phosphate supplement preparations,1344,1368
0408020V0,Midazolam maleate,1490,1360
0704020G0,Flavoxate hydrochloride,1470,1349
0410030E0,Naltrexone hydrochloride,1512,1341
1104010W0,Loteprednol etabonate,2622,1338
212700007,DUMMY CHEMICAL SUBSTANCE 212700007,1636,1333
239410099,DUMMY CHEMICAL SUBSTANCE 239410099,1461,1331
200202003,DUMMY CHEMICAL SUBSTANCE 200202003,1455,1330
0206020Q0,Nicardipine hydrochloride,1336,1321
0105040A0,Sodium cromoglicate,1105,1298
0603020M0,Hydrocortisone sodium succinate,546,1294
220510005,DUMMY CHEMICAL SUBSTANCE 220510005,1426,1293
226048860,DUMMY CHEMICAL SUBSTANCE 226048860,959,1292
1310040M0,Malathion,394,1290
1302020B0,Benzalkonium chloride,1791,1286
233548036,DUMMY CHEMICAL SUBSTANCE 233548036,1126,1267
200900008,DUMMY CHEMICAL SUBSTANCE 200900008,1481,1266
236034562,DUMMY CHEMICAL SUBSTANCE 236034562,1398,1248
200310000,DUMMY CHEMICAL SUBSTANCE 200310000,1350,1248
211800001,DUMMY CHEMICAL SUBSTANCE 211800001,1296,1247
0501090K0,Isoniazid,1633,1247
1108030AA,Carbomer,1155,1240
239448100,DUMMY CHEMICAL SUBSTANCE 239448100,1008,1237
212700016,DUMMY CHEMICAL SUBSTANCE 212700016,997,1234
1001010R0,Piroxicam,1359,1230
211900000,DUMMY CHEMICAL SUBSTANCE 211900000,1233,1223
0202010F0,Chlortalidone,1097,1221
1203010K0,Choline salicylate,1655,1217
0106010H0,Methylcellulose,1169,1217
1001010L0,Ketoprofen,1271,1208
0904010F0,Gluten free/low protein bread,946,1203
238001080,DUMMY CHEMICAL SUBSTANCE 238001080,1096,1198
091104000,Other digestive aid preparations,1173,1197
1104020Y0,Ketotifen fumarate,791,1190
200314000,DUMMY CHEMICAL SUBSTANCE 200314000,1367,1188
0407020V0,Pethidine hydrochloride,1753,1171
0408010X0,Vigabatrin,1118,1169
200502001,DUMMY CHEMICAL SUBSTANCE 200502001,1120,1165
200306005,DUMMY CHEMICAL SUBSTANCE 200306005,1069,1160
090501100,Other calcium supplement preparations,1415,1153
0205051H0,Enalapril maleate with diuretic,1241,1152
1310020T0,Tioconazole,1524,1149
212700023,DUMMY CHEMICAL SUBSTANCE 212700023,1026,1146
1303000N0,Lidocaine,1206,1141
226061560,DUMMY CHEMICAL SUBSTANCE 226061560,923,1139
1001010AG,Diclofenac potassium,1610,1134
233534537,DUMMY CHEMICAL SUBSTANCE 233534537,1144,1127
212700010,DUMMY CHEMICAL SUBSTANCE 212700010,1107,1119
239410093,DUMMY CHEMICAL SUBSTANCE 239410093,1268,1117
0401010B0,Chloral hydrate,996,1115
1103030W0,Ganciclovir,531,1115
0408010AF,Rufinamide,999,1113
0905041Q0,Zinc sulfate,1106,1113
234541045,DUMMY CHEMICAL SUBSTANCE 234541045,1203,1108
238033680,DUMMY CHEMICAL SUBSTANCE 238033680,1018,1104
040801020,Valproic acid,1773,1104
0101010L0,Aluminium and magnesium and activated simeticone,1233,1103
1502010A0,Tetracaine,1537,1103
236010064,DUMMY CHEMICAL SUBSTANCE 236010064,668,1102
200319000,DUMMY CHEMICAL SUBSTANCE 200319000,1437,1102
0803020H0,Medroxyprogesterone acetate,1109,1100
0204000U0,Atenolol with calcium channel blocker,1142,1100
0905022T0,Lanthanum carbonate,1209,1097
0203020F0,Disopyramide,1201,1095
236056063,DUMMY CHEMICAL SUBSTANCE 236056063,899,1093
225048850,DUMMY CHEMICAL SUBSTANCE 225048850,929,1089
236048062,DUMMY CHEMICAL SUBSTANCE 236048062,659,1083
0906060Q0,Phytomenadione,1234,1080
0105010C0,Olsalazine sodium,1055,1072
1108010K0,Sodium chloride,1058,1066
226007060,DUMMY CHEMICAL SUBSTANCE 226007060,843,1062
0601023AP,Canagliflozin/metformin,897,1060
0702020P0,Miconazole nitrate,1115,1050
231510615,DUMMY CHEMICAL SUBSTANCE 231510615,708,1050
239641097,DUMMY CHEMICAL SUBSTANCE 239641097,903,1049
0402020AA,Risperidone,1210,1042
1201010Q0,Hydrocortisone,1123,1041
212700003,DUMMY CHEMICAL SUBSTANCE 212700003,1157,1040
0703010R0,Estradiol valandestradiol valerate with dienogest,768,1028
1106000T0,Levobunolol hydrochloride,2956,1027
238509085,DUMMY CHEMICAL SUBSTANCE 238509085,862,1016
1302010N0,Paraffin soft white,1346,1015
190500000,Other preparations,1066,1004
233010030,DUMMY CHEMICAL SUBSTANCE 233010030,1024,1002
200505000,DUMMY CHEMICAL SUBSTANCE 200505000,886,993
1502010C0,Bupivacaine hydrochloride,1642,992
0904010T0,Gluten free/low protein pasta,657,991
1104020B0,Antazoline,1208,978
0607010B0,Bromocriptine,1096,974
236034564,DUMMY CHEMICAL SUBSTANCE 236034564,720,974
0501030Z0,Doxycycline monohydrate,1208,972
238010680,DUMMY CHEMICAL SUBSTANCE 238010680,527,971
0904010AQ,Low protein pasta,910,970
1304000P0,Fluocinonide,1233,968
237010070,DUMMY CHEMICAL SUBSTANCE 237010070,981,949
0803042S0,Triptorelin embonate,887,949
0307000K0,Dornase alfa,793,943
0409010A0,Apomorphine hydrochloride,912,943
200506000,DUMMY CHEMICAL SUBSTANCE 200506000,822,936
1302010E0,Dexpanthenol,1218,927
0205052AC,Olmesartan medoxomil/amlodipine/hydrochlorothiazide,612,922
0407010Q0,Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol),1426,919
238020880,DUMMY CHEMICAL SUBSTANCE 238020880,859,917
0906050T0,Tocopheryl acetate,908,907
0402020AB,Paliperidone,913,907
213400001,DUMMY CHEMICAL SUBSTANCE 213400001,1099,904
0601023AH,Saxagliptin/metformin,892,902
0503040B0,Oseltamivir phosphate,2601,899
230507005,DUMMY CHEMICAL SUBSTANCE 230507005,662,896
0212000K0,Colestipol hydrochloride,548,894
0904010W0,Low protein biscuits,864,892
0603020AA,Dexamethasone phosphate,799,877
231559015,DUMMY CHEMICAL SUBSTANCE 231559015,186,871
0601023AV,Saxagliptin/dapagliflozin,744,864
0107010N0,Lidocaine hydrochloride,848,857
191402000,Other purified water preparations,733,854
212700014,DUMMY CHEMICAL SUBSTANCE 212700014,678,852
1304000L0,Diflucortolone valerate,1273,852
0101010Q0,Magnesium hydroxide,793,852
0704050AC,Avanafil,861,848
0206040AH,Rutosides,1250,841
200304002,DUMMY CHEMICAL SUBSTANCE 200304002,919,835
1108020AG,Bromfenac,903,832
200900007,DUMMY CHEMICAL SUBSTANCE 200900007,849,830
212700015,DUMMY CHEMICAL SUBSTANCE 212700015,903,829
223020830,DUMMY CHEMICAL SUBSTANCE 223020830,684,827
0103030S0,Sucralfate,1147,822
0307000Q0,Erdosteine,818,820
212700012,DUMMY CHEMICAL SUBSTANCE 212700012,902,818
233010830,DUMMY CHEMICAL SUBSTANCE 233010830,775,818
0204000C0,Acebutolol hydrochloride,874,815
213600001,DUMMY CHEMICAL SUBSTANCE 213600001,720,815
0906025P0,Riboflavin,777,814
0401010F0,Clomethiazole,1220,805
1305020A0,Acitretin,830,801
1306030A0,Brimonidine tart (Rosacea),873,800
1305010I0,Gamolenic acid,900,800
0906060L0,Menadiol sodium phosphate,635,798
212700005,DUMMY CHEMICAL SUBSTANCE 212700005,856,798
0105020E0,Prednisolone sodium phosphate,1401,794
090401090,Maltodextrin,750,789
0606020T0,Sodium clodronate,840,782
239656096,DUMMY CHEMICAL SUBSTANCE 239656096,827,781
234501045,DUMMY CHEMICAL SUBSTANCE 234501045,925,775
0604011J0,Estradiol and estriol with progestogen,452,775
239634596,DUMMY CHEMICAL SUBSTANCE 239634596,753,769
0212000Q0,Gemfibrozil,767,768
1311060Q0,Potassium permanganate,929,766
0106050S0,Sodium picosulfate,883,763
0905022U0,Calcium acetate/magnesium carbonate,787,763
0402020AD,Aripiprazole,614,762
0403020K0,Moclobemide,1407,755
0802010N0,Mycophenolic sodium,711,754
